Rank,Player,Team,RAA,Wins,EFscore,Salary,Value
1,Bruno Fernandes,Manchester United,615,2.041,0.365,"$2,500,000 ","$2,594,886 "
2,L. Goretzka,FC Bayern München,414,1.375,0.237,"$916,000 ","$1,890,050 "
3,L. Suárez,Atlético de Madrid,307,1.019,0.189,"$1,583,333 ","$1,513,292 "
4,K. De Bruyne,Manchester City,251,0.833,0.155,"$16,000 ","$1,316,446 "
5,M. Acuña,Sevilla FC,241,0.799,0.147,"$1,666,667 ","$1,280,463 "
6,J. Kimmich,FC Bayern München,224,0.743,0.162,"$1,916,667 ","$1,221,198 "
7,Paulinho,Al Ahli,219,0.727,0.169,"$1,050,000 ","$1,204,265 "
8,G. Wijnaldum,Paris Saint-Germain,214,0.711,0.122,"$541,000 ","$1,187,332 "
9,E. Can,Borussia Dortmund,208,0.69,0.125,"$45,000 ","$1,165,107 "
10,A. Griezmann,Atlético de Madrid,191,0.634,0.131,"$1,333,333 ","$1,105,842 "
11,L. Modric,Real Madrid CF,186,0.618,0.163,"$300,000 ","$1,088,909 "
12,Marcos Llorente,Atlético de Madrid,178,0.591,0.144,"$2,083,333 ","$1,060,335 "
13,Sergio Ramos,Paris Saint-Germain,169,0.561,0.146,"$100,000 ","$1,028,585 "
14,D. Alaba,Real Madrid CF,162,0.537,0.127,"$150,000 ","$1,003,186 "
15,Merino,Real Sociedad,154,0.512,0.092,"$666,000 ","$976,728 "
16,N. Barella,Inter,137,0.454,0.116,"$166,000 ","$915,346 "
17,Alex Telles,Manchester United,126,0.419,0.166,"$708,000 ","$878,305 "
18,F. de Jong,FC Barcelona,116,0.385,0.089,NA,"$842,323 "
19,M. Sabitzer,FC Bayern München,111,0.367,0.084,"$2,083,333 ","$823,273 "
20,J. Cuadrado,Juventus,99,0.329,0.116,"$500,000 ","$783,057 "
21,Koke,Atlético de Madrid,96,0.319,0.08,"$75,000 ","$772,474 "
22,João Cancelo,Manchester City,89,0.296,0.133,"$345,000 ","$748,133 "
23,L. Digne,Everton,85,0.281,0.126,"$141,000 ","$732,258 "
24,F. Kostic,Eintracht Franfurt,82,0.272,0.058,"$15,000 ","$722,733 "
25,T. Alexander-Arnold,Liverpool,80,0.265,0.083,NA,"$715,325 "
26,S. Milinkovic-Savic,Lazio,79,0.264,0.06,"$66,000 ","$714,267 "
27,A. Vidal,Inter,79,0.264,0.135,"$210,000 ","$714,267 "
28,P. Pogba,Manchester United,79,0.263,0.067,"$366,000 ","$713,209 "
29,Casemiro,Real Madrid CF,76,0.251,0.072,"$75,000 ","$700,509 "
30,L. Messi,Paris Saint-Germain,72,0.24,0.054,"$300,000 ","$688,867 "
31,Renato Sanches,LOSC Lille,71,0.234,0.09,"$82,500 ","$682,518 "
32,L. Ocampos,Sevilla FC,70,0.232,0.132,"$300,000 ","$680,401 "
33,Jordi Alba,FC Barcelona,68,0.226,0.099,"$825,000 ","$674,051 "
34,R. Lewandowski,FC Bayern München,68,0.225,0.093,"$600,000 ","$672,993 "
35,M. Salah,Liverpool,64,0.213,0.107,"$583,000 ","$660,293 "
36,Angeliño,RB Leipzig,55,0.183,0.046,"$216,000 ","$628,544 "
37,Cristiano Ronaldo,Manchester United,50,0.165,0.029,"$720,000 ","$609,494 "
38,12 Roberto Carlos,FC Anzhi Mahachala,42,0.14,0.07,"$433,000 ","$583,036 "
39,Canales,Real Betis Balompié,42,0.139,0.033,"$333,000 ","$581,978 "
40,H. Kane,Tottenham Hotspur,37,0.123,0.024,"$83,333 ","$565,045 "
41,19 Dani Alves,Paris Saint-Germain,33,0.108,0.055,"$791,000 ","$549,170 "
42,M. Brozovic,Inter,31,0.103,0.091,"$700,000 ","$543,879 "
43,M. Verratti,Paris Saint-Germain,25,0.083,0.018,"$75,000 ","$522,713 "
44,Saúl,Chelsea,25,0.081,0.057,"$285,000 ","$520,596 "
45,Thiago,Liverpool,23,0.076,0.019,"$195,000 ","$515,304 "
46,J. Veretout,Roma,20,0.066,0.017,"$500,000 ","$504,721 "
47,J. Henderson,Liverpool,19,0.063,0.093,"$15,000 ","$501,546 "
48,I. Gündogan,Manchester City,19,0.062,0.115,"$200,000 ","$500,488 "
49,R. Nainggolan,Royal Antwerp FC,17,0.055,0.061,"$283,000 ","$493,080 "
50,T. Delaney,Sevilla FC,16,0.053,0.082,NA,"$490,963 "
51,Lucas Paquetá,Olympique Lyonnais,16,0.052,0.106,"$180,000 ","$489,905 "
52,F. Kessié,AC Milan,15,0.05,0.017,"$525,000 ","$487,788 "
53,R. Malinovskyi,Atalanta,15,0.049,0.121,"$50,000 ","$486,730 "
54,K. Walker,Manchester City,14,0.048,0.043,"$366,000 ","$485,672 "
55,R. Gosens,Atalanta,14,0.047,0.026,"$16,667 ","$484,613 "
56,S. Mané,Liverpool,13,0.042,0.038,NA,"$479,322 "
57,L. Pellegrini,Roma,12,0.041,0.041,NA,"$478,263 "
58,D. Wass,Valencia CF,11,0.038,0.033,NA,"$475,089 "
59,A. Hakimi,Paris Saint-Germain,10,0.033,0.028,"$466,000 ","$469,797 "
60,Y. Tielemans,Leicester City,10,0.032,0.041,"$30,000 ","$468,739 "
61,Ricardo Pereira,Leicester City,8,0.027,0.02,"$33,000 ","$463,447 "
62,T. Hernández,AC Milan,7,0.024,0.165,"$1,425,000 ","$460,272 "
63,Grimaldo,SL Benfica,5,0.016,0.015,"$75,000 ","$451,806 "
64,21 Renato Augusto,Beijing Guoan FC,3,0.011,0.081,"$708,000 ","$446,514 "
65,Neymar Jr,Paris Saint-Germain,2,0.008,0.054,"$15,000 ","$443,339 "
66,K. Trippier,Atlético de Madrid,2,0.006,0.067,"$630,000 ","$441,223 "
67,N. De la Cruz,River Plate,0,0,0.072,"$466,000 ","$434,873 "
68,12 M. Ballack,Bayer 04 Leverusen,-1,-0.004,0.025,"$225,000 ","$430,639 "
69,Roberto Firmino,Liverpool,-2,-0.008,0.041,"$116,000 ","$426,406 "
70,19 C. Marchisio,Juventus,-4,-0.013,0.006,"$216,000 ","$421,115 "
71,R. De Paul,Atlético de Madrid,-8,-0.027,0.007,"$633,333 ","$406,298 "
72,N. Kanté,Chelsea,-9,-0.03,0.006,"$116,667 ","$403,123 "
73,A. Florenzi,AC Milan,-12,-0.04,0.035,NA,"$392,540 "
74,Yuri Berchiche,Athletic Club de Bilbao,-12,-0.04,0.079,"$345,000 ","$392,540 "
75,G. Bale,Real Madrid CF,-12,-0.041,0.035,"$58,333 ","$391,482 "
76,Portu,Real Sociedad,-14,-0.046,0.008,"$45,000 ","$386,190 "
77,A. Di María,Paris Saint-Germain,-14,-0.047,0.025,"$708,000 ","$385,132 "
78,21 I. Fernández,River Plate,-15,-0.049,0.08,"$833,000 ","$383,015 "
79,Jesús Navas,Sevilla FC,-16,-0.052,0.01,"$52,500 ","$379,841 "
80,F. Valverde,Real Madrid CF,-16,-0.053,0.013,"$50,000 ","$378,782 "
81,R. Guerreiro,Borussia Dortmund,-19,-0.063,0.058,"$366,000 ","$368,199 "
82,L. Paredes,Paris Saint-Germain,-20,-0.067,0.028,"$45,000 ","$363,966 "
83,K. Mbappé,Paris Saint-Germain,-20,-0.068,0.025,"$83,333 ","$362,908 "
84,G. Lo Celso,Tottenham Hotspur,-21,-0.069,0.003,"$180,000 ","$361,849 "
85,19 D. Srna,Cagliari,-21,-0.069,0.002,NA,"$361,849 "
86,A. Kolarov,Inter,-21,-0.07,0.001,"$15,000 ","$360,791 "
87,Fred,Manchester United,-22,-0.072,0.027,"$250,000 ","$358,674 "
88,Carlos Soler,Valencia CF,-23,-0.076,0.001,"$45,000 ","$354,441 "
89,19 C. Noboa,,-23,-0.078,0.039,"$116,000 ","$352,324 "
90,Rúben Neves,Wolverhampton Wanderers,-28,-0.092,0.088,"$1,250,000 ","$337,508 "
91,Anderson Talisca,Al Nassr,-28,-0.092,0.016,"$45,000 ","$337,508 "
92,J. Corona,FC Porto,-29,-0.096,0.001,"$16,667 ","$333,275 "
93,Parejo,Villarreal CF,-29,-0.096,0,"$108,000 ","$333,275 "
94,C. Tolisso,FC Bayern München,-30,-0.099,0.014,NA,"$330,100 "
95,A. Witsel,Borussia Dortmund,-32,-0.105,0.026,"$541,000 ","$323,750 "
96,Raúl García,Athletic Club de Bilbao,-34,-0.112,0.004,NA,"$316,342 "
97,Fabinho,Liverpool,-35,-0.116,0.004,"$50,000 ","$312,109 "
98,A. Robertson,Liverpool,-38,-0.126,0.003,"$15,000 ","$301,526 "
99,T. Partey,Arsenal,-38,-0.127,0.028,"$15,000 ","$300,467 "
100,L. Robertone,Unión Deportiva Almería,-41,-0.136,0.004,"$33,000 ","$290,942 "
101,L. Provod,S Slavia Praha,-41,-0.136,0.003,"$466,667 ","$290,942 "
102,Renan Lodi,Atlético de Madrid,-43,-0.144,0.045,"$15,000 ","$282,476 "
103,M. Arnold,VfL Wolfsburg,-44,-0.145,0.002,"$45,000 ","$281,418 "
104,17 J. Vargas,Real Betis Balompié,-44,-0.146,0.001,"$345,000 ","$280,359 "
105,I. Bennacer,AC Milan,-45,-0.149,0.003,"$16,000 ","$277,184 "
106,E. Banega,Al Shabab,-46,-0.153,0.011,"$15,000 ","$272,951 "
107,H. Herrera,Atlético de Madrid,-48,-0.159,0.001,"$240,000 ","$266,601 "
108,Marcelo,Real Madrid CF,-48,-0.159,0.002,"$30,000 ","$266,601 "
109,W. McKennie,Juventus,-48,-0.16,0.026,"$570,000 ","$265,543 "
110,T. Lemar,Atlético de Madrid,-54,-0.18,0.037,"$233,000 ","$244,377 "
111,I. Peri?ic,Inter,-57,-0.191,0.026,"$100,000 ","$232,735 "
112,Arthur,Juventus,-58,-0.192,0.025,"$1,275,000 ","$231,677 "
113,17 S. Gerrard,LA Galaxy,-58,-0.192,0.001,"$15,000 ","$231,677 "
114,Capa,Athletic Club de Bilbao,-59,-0.196,0.017,"$16,000 ","$227,444 "
115,P. ?evcík,S Slavia Praha,-60,-0.198,0.005,"$266,000 ","$225,327 "
116,Oscar,Shanghai Port FC,-60,-0.2,0.019,NA,"$223,211 "
117,T. Kroos,Real Madrid CF,-61,-0.201,0.04,NA,"$222,152 "
118,F. Mendy,Real Madrid CF,-61,-0.203,0.066,"$1,400,000 ","$220,036 "
119,Alex Sandro,Juventus,-61,-0.204,0.048,"$90,000 ","$218,977 "
120,Diogo Jota,Liverpool,-62,-0.206,0.056,"$570,000 ","$216,861 "
121,L. Stindl,Borussia Mönchengladbach,-67,-0.221,0.004,"$15,000 ","$200,986 "
122,M. Pjanic,Besitas J,-67,-0.223,0.017,"$141,000 ","$198,869 "
123,J. Tavernier,Rangers FC,-68,-0.224,0.115,"$125,000 ","$197,811 "
124,O. Zinchenko,Manchester City,-69,-0.229,0.068,"$630,000 ","$192,519 "
125,Pizzi,SL Benfica,-75,-0.249,0.064,"$1,050,000 ","$171,353 "
126,17 P. Lahm,FC Bayern München,-76,-0.252,0.089,"$975,000 ","$168,178 "
127,H. Mkhitaryan,Roma,-79,-0.262,0.006,"$150,000 ","$157,595 "
128,M. Rashford,Manchester United,-85,-0.283,0.028,"$120,000 ","$135,371 "
129,L. Martínez,Inter,-87,-0.287,0.07,"$375,000 ","$131,137 "
130,H. Son,Tottenham Hotspur,-87,-0.288,0.087,"$1,583,333 ","$130,079 "
131,D. van de Beek,Manchester United,-87,-0.288,0.076,"$666,667 ","$130,079 "
132,T. Koopmeiners,Atalanta,-88,-0.294,0.04,"$708,000 ","$123,729 "
133,J. Milner,Liverpool,-91,-0.301,0.009,"$30,000 ","$116,321 "
134,19 Filipe Luís,Atlético de Madrid,-91,-0.302,0.112,"$916,667 ","$115,263 "
135,Sérgio Oliveira,FC Porto,-98,-0.325,0.009,"$1,083,000 ","$90,922 "
136,A. Golovin,AS Monaco,-103,-0.343,0.041,"$900,000 ","$71,872 "
